avion,daño recibido,cantidad de impactos,cantidad disparos,derribado,objetivo,cantidad de saltos
A10,120.82074430847433,1,72,False,True,132
A10,157.81665075755967,2,90,False,True,105
F15,120.82074430847433,1,3,True,False,65
F15,0.0,0,0,False,True,88
F15,162.88887371034753,1,7,True,False,47
F15,70.75271205193363,2,17,True,False,82
A10,271.44913255633435,2,96,False,True,142
A10,235.8483167298092,2,42,False,True,99
F15,0.0,0,2,False,True,102
F15,208.80933782228766,2,23,True,False,100
F15,0.0,0,20,False,True,144
A10,69.03197204648632,2,36,False,True,105
F15,64.65023840104061,1,10,True,False,57
F15,0.0,0,12,False,True,102
A10,411.58883790011896,4,47,False,True,97
A10,635.987865329509,3,35,True,False,86
A10,0.0,0,12,False,True,103
F15,0.0,0,10,False,True,93
F15,255.20715535918055,1,21,True,False,89
F15,178.50740648292174,1,9,True,False,103
F15,243.15642585816286,3,12,True,False,26
A10,30.30193133936592,1,72,False,True,144
F15,64.65023840104061,1,9,True,False,92
A10,188.0429700466467,1,12,False,True,81
A10,617.5939716919188,6,34,True,False,66
F15,0.0,0,2,False,True,102
A10,0.0,0,30,False,True,100
F15,120.82074430847433,1,8,True,False,62
A10,522.136041753011,4,33,True,False,35
A10,529.439250239916,3,40,True,False,61
F15,0.0,0,4,False,True,132
A10,0.0,0,36,False,True,97
A10,220.30082218059616,2,48,False,True,114
F15,33.66628971493773,1,37,False,True,98
F15,216.61458531806522,1,13,True,False,37
A10,529.439250239916,3,37,True,False,60
A10,123.01665075755966,1,48,False,True,80
A10,246.27807940287386,5,72,False,True,119
A10,0.0,0,0,False,True,101
A10,524.7009695773335,4,55,True,False,100
F15,34.80000000000001,1,28,False,True,95
F15,162.88887371034753,1,26,True,False,86
A10,297.3554357294671,6,107,False,True,108
F15,0.0,0,10,False,True,104
A10,507.44251482395885,6,113,True,False,89
F15,0.0,0,4,False,True,114
F15,27.81366679260421,1,24,False,True,100
A10,63.968221054303655,2,42,False,True,127
F15,123.01665075755966,1,8,True,False,51
F15,178.50740648292174,1,10,True,False,135
F15,120.82074430847433,1,40,True,False,97
A10,0.0,0,0,False,True,98
F15,0.0,0,16,False,True,103
A10,525.5394570286112,8,48,True,False,69
F15,0.0,0,0,False,True,96
F15,224.96286961827673,2,27,True,False,72
A10,508.63079096251073,7,69,True,False,18
A10,0.0,0,36,False,True,104
A10,0.0,0,42,False,True,103
A10,0.0,0,42,False,True,102
F15,0.0,0,0,False,True,108
F15,0.0,0,12,False,True,110
F15,0.0,0,16,False,True,116
F15,0.0,0,0,False,True,116
F15,0.0,0,14,False,True,89
A10,578.6609183849357,9,90,True,False,101
A10,30.30193133936592,1,48,False,True,100
F15,0.0,0,2,False,True,90
F15,0.0,0,0,False,True,99
F15,34.51598602324316,1,12,False,True,117
A10,0.0,0,42,False,True,96
F15,114.99502390112195,1,6,True,False,104
F15,0.0,0,16,False,True,89
A10,112.8215962391962,2,54,False,True,121
A10,536.9401322989996,4,128,True,False,115
A10,0.0,0,0,False,True,124
A10,0.0,0,0,False,True,95
F15,0.0,0,6,False,True,98
F15,222.70473572898302,2,13,True,False,40
F15,0.0,0,24,False,True,103
F15,0.0,0,0,False,True,112
A10,0.0,0,12,False,True,82
F15,123.75,1,6,True,False,51
A10,545.0932563541948,5,102,True,False,147
A10,581.8016334853371,5,27,True,False,99
F15,0.0,0,18,False,True,100
F15,227.53601397546947,1,25,True,False,82
A10,0.0,0,36,False,True,95
F15,0.0,0,10,False,True,103
A10,670.9256897332409,8,37,True,False,73
A10,123.75,1,30,False,True,103
A10,443.07594765902,5,45,False,True,95
A10,102.13257942987548,3,72,False,True,113
F15,24.81152447215024,1,15,False,True,100
A10,0.0,0,30,False,True,119
F15,0.0,0,4,False,True,115
A10,499.7760257197232,7,51,True,False,18
F15,147.8281752297099,2,20,True,False,78
F15,112.0983167298092,1,1,True,False,102
F15,0.0,0,22,False,True,112
F15,0.0,0,0,False,True,96
F15,120.82074430847433,1,24,True,False,101
F15,0.0,0,4,False,True,117
A10,585.3512353028393,4,57,True,False,55
F15,120.82074430847433,1,1,True,False,107
A10,0.0,0,12,False,True,82
F15,60.071518926553665,2,22,True,False,51
A10,34.51598602324316,1,36,False,True,128
A10,246.03330151511932,2,36,False,True,122
A10,0.0,0,78,False,True,132
A10,0.0,0,0,False,True,91
A10,185.47098270951494,2,84,False,True,116
F15,0.0,0,4,False,True,99
F15,0.0,0,0,False,True,88
A10,90.07708783453583,2,78,False,True,115
F15,0.0,0,10,False,True,107
F15,120.82074430847433,1,4,True,False,29
A10,64.65023840104061,1,30,False,True,94
F15,68.46628971493774,2,20,True,False,92
F15,0.0,0,0,False,True,116
F15,0.0,0,26,False,True,101
A10,621.0672357783698,6,36,True,False,32
A10,520.6482014872266,7,38,True,False,36
F15,162.88887371034753,1,6,True,False,31
A10,245.8399859127972,3,82,False,True,99
F15,156.73335033784815,1,34,True,False,110
A10,554.9580949802952,5,46,True,False,84
F15,34.80000000000001,1,14,False,True,103
F15,64.65023840104061,1,9,True,False,68
A10,488.998133471932,6,50,True,False,24
A10,545.0577830124902,3,37,True,False,101
F15,0.0,0,0,False,True,96
F15,30.30193133936592,1,57,False,True,137
F15,0.0,0,4,False,True,93
F15,141.56307941925706,1,50,True,False,129
A10,628.7029946093104,6,82,True,False,82
A10,432.35520567575986,5,46,False,True,86
A10,0.0,0,0,False,True,99
A10,0.0,0,12,False,True,91
F15,110.14966465448526,2,15,True,False,99
F15,225.1293923836426,2,24,True,False,104
A10,313.03703402341205,4,72,False,True,136
A10,570.0670518520609,3,46,True,False,56
F15,81.15784374182809,2,22,True,False,79
F15,0.0,0,12,False,True,103
A10,123.75,1,66,False,True,103
F15,32.257852133949456,1,35,False,True,127
F15,0.0,0,12,False,True,89
F15,178.50740648292174,1,11,True,False,69
A10,656.3429637572395,4,63,True,False,91
F15,0.0,0,10,False,True,108
A10,0.0,0,0,False,True,122
A10,529.4281907166564,7,71,True,False,61
F15,222.70473572898302,2,15,True,False,49
A10,156.00785213394946,2,72,False,True,107
A10,704.1266164717189,3,95,True,False,95
F15,33.66628971493773,1,18,False,True,122
A10,99.16622442428377,2,108,False,True,118
F15,0.0,0,14,False,True,92
F15,0.0,0,12,False,True,97
F15,0.0,0,4,False,True,95
F15,162.88887371034753,1,8,True,False,32
F15,0.0,0,4,False,True,87
F15,0.0,0,4,False,True,84
A10,0.0,0,36,False,True,106
A10,222.8429700466467,2,54,False,True,120
A10,516.699577393746,6,58,True,False,89
F15,0.0,0,4,False,True,112
F15,0.0,0,0,False,True,83
F15,0.0,0,0,False,True,108
F15,0.0,0,16,False,True,85
F15,64.65023840104061,1,10,True,False,71
A10,507.4970806774484,7,70,True,False,93
A10,563.0445273226671,5,88,True,False,47
F15,62.32965281584737,2,24,True,False,40
A10,507.48326162649084,6,79,True,False,45
A10,506.6899859127973,6,62,True,False,27
A10,0.0,0,0,False,True,96
F15,162.88887371034753,1,8,True,False,58
F15,33.66628971493773,1,15,False,True,98
A10,520.2268632743051,8,45,True,False,71
F15,64.65023840104061,1,10,True,False,31
F15,30.30193133936592,1,26,False,True,101
A10,513.116206640758,4,28,True,False,87
F15,0.0,0,10,False,True,102
F15,216.31223618257005,2,21,True,False,50
F15,191.25,1,20,True,False,25
A10,649.1049549507676,6,44,True,False,46
F15,193.19080504971345,2,20,True,False,99
A10,544.1226488067077,4,39,True,False,92
F15,190.44688359503357,1,19,True,False,74
A10,233.6208622944379,3,46,False,True,98
A10,0.0,0,0,False,True,124
A10,123.01665075755966,1,36,False,True,108
A10,514.4414435044523,6,56,True,False,71
A10,494.71486229019484,4,70,True,False,82
F15,162.88887371034753,1,27,True,False,91
F15,0.0,0,0,False,True,109
A10,611.2978998143647,6,51,True,False,65
F15,0.0,0,6,False,True,120
A10,0.0,0,0,False,True,88
A10,494.48604040095194,8,98,True,False,68
A10,615.2932678099043,4,62,True,False,91
F15,120.82074430847433,1,7,True,False,58
F15,0.0,0,6,False,True,102
A10,32.257852133949456,1,42,False,True,106
F15,0.0,0,0,False,True,92
F15,178.50740648292174,1,24,True,False,93
F15,0.0,0,12,False,True,95
A10,466.1097360047855,6,104,False,True,99
A10,0.0,0,48,False,True,123
A10,376.0859400932934,2,46,False,True,94
F15,188.0429700466467,1,13,True,False,100
F15,0.0,0,0,False,True,110
A10,120.82074430847433,1,42,False,True,110
A10,0.0,0,42,False,True,112
A10,0.0,0,6,False,True,89
A10,501.65644441162635,6,54,True,False,42
F15,0.0,0,6,False,True,107
A10,96.84563883909053,3,36,False,True,108
A10,24.81152447215024,1,18,False,True,137
A10,458.40768281393156,6,45,False,True,93
A10,296.14383317803515,5,44,False,True,102
F15,66.77383815719261,2,16,True,False,65
A10,0.0,0,0,False,True,87
F15,33.66628971493773,1,25,False,True,92
A10,0.0,0,0,False,True,124
A10,357.3658276172274,3,36,False,True,96
F15,178.50740648292174,1,10,True,False,98
F15,0.0,0,16,False,True,85
A10,509.0051383406539,6,57,True,False,55
A10,535.5222194487652,3,63,True,False,108
F15,210.7652586168712,2,36,True,False,98
A10,188.4002384010406,2,30,False,True,119
F15,188.0429700466467,1,35,True,False,106
A10,366.55037652956844,2,46,False,True,87
F15,0.0,0,0,False,True,103
A10,0.0,0,18,False,True,103
F15,0.0,0,0,False,True,86
A10,240.19123918739353,2,48,False,True,121
F15,0.0,0,0,False,True,90
A10,609.7010428200917,4,26,True,False,38
A10,508.40391819269314,3,26,True,False,80
F15,0.0,0,0,False,True,89
F15,0.0,0,12,False,True,139
A10,0.0,0,0,False,True,91
F15,0.0,0,0,False,True,110
F15,138.56529334420281,1,26,True,False,125
A10,536.2175849852973,4,29,True,False,74
